fecha,monto,producto,region,vendedor,canal
2023-07-01,39756.0,Laptop,Centro,Ana,Tienda
2024-08-14,275604.0,Monitor,Centro,Ana,Tienda
2022-08-19,84440.0,Monitor,Centro,Ana,Distribuidor
2024-08-11,63225.0,Teclado,Centro,Luis,Distribuidor
2023-05-05,80812.0,Monitor,Norte,Pedro,Tienda
2023-08-01,38724.0,Teclado,Centro,María,Online
2024-07-17,145540.0,Teclado,Norte,Ana,Online
2024-10-14,45299.0,Teclado,Sur,Juan,Tienda
2022-01-27,6660.0,Laptop,Centro,Pedro,Online
2022-08-30,74645.0,Mouse,Sur,Pedro,Distribuidor
2023-03-29,8516.0,Teclado,Centro,Luis,Tienda
2024-10-05,86379.0,Monitor,Centro,Ana,Tienda
2024-04-07,76436.0,,Centro,María,
2022-08-14,37869.0,Teclado,Norte,,Tienda
2024-02-19,47071.0,Laptop,Norte,María,Tienda
2024-02-03,69032.0,Laptop,Norte,,Online
2023-01-21,96871.0,Mouse,Norte,Ana,Online
2024-09-18,117576.0,Mouse,Norte,Luis,Online
2024-08-12,113075.0,Monitor,,María,Online
2023-11-30,39048.0,Laptop,,Ana,Online
2022-06-16,103038.0,Teclado,Sur,Ana,
2022-07-09,12770.0,Laptop,Sur,Luis,Tienda
2024-06-14,81956.0,,Centro,Juan,Distribuidor
2023-01-27,43781.0,Monitor,Sur,,Tienda
2024-12-13,57834.0,Laptop,Centro,Luis,Tienda
2024-12-02,97523.0,Mouse,Norte,Pedro,Tienda
2022-09-15,105725.0,Laptop,Centro,Luis,Online
2024-08-13,64727.0,Mouse,Norte,Luis,Distribuidor
2022-09-10,74671.0,Mouse,Norte,Juan,Tienda
2024-12-18,89151.0,Laptop,Norte,Juan,Tienda
2023-12-28,70707.0,Mouse,Sur,Pedro,Distribuidor
2024-05-30,92178.0,Laptop,Sur,María,Online
2023-02-05,117922.0,Laptop,Sur,Pedro,Online
2022-05-14,139638.0,Teclado,Sur,María,Online
2024-01-05,78136.0,Mouse,,Ana,Distribuidor
2022-07-06,45821.0,Mouse,Norte,Luis,Tienda
2022-01-17,24603.0,Teclado,Centro,Luis,Tienda
2024-04-01,79826.0,Laptop,Norte,Juan,Online
2024-02-15,1450.0,Mouse,Norte,,Distribuidor
2024-10-09,112210.0,Teclado,Centro,María,Online
2022-07-20,54324.0,Laptop,Centro,María,Tienda
2024-12-05,38737.0,Laptop,Norte,María,Tienda
2022-05-15,147438.0,Monitor,Centro,Luis,Online
2022-03-21,106666.0,Laptop,Centro,Ana,Online
2022-02-07,154062.0,Monitor,Norte,Ana,Online
2024-01-18,131562.0,Teclado,Centro,Luis,Tienda
2023-03-29,24279.0,Teclado,Norte,Ana,
2024-02-29,97374.0,Mouse,,María,Tienda
2023-02-06,95240.0,Laptop,Centro,Luis,Tienda
2022-04-19,67150.0,,Norte,Juan,Online
2023-04-16,109951.0,Mouse,Sur,María,Distribuidor
2024-01-24,702.0,Laptop,Norte,Pedro,Distribuidor
2023-10-16,23140.0,Monitor,,Juan,Tienda
2024-10-17,84307.0,Mouse,,Ana,Tienda
2022-01-05,130326.0,Laptop,Centro,María,Online
2024-06-04,115414.0,Teclado,Centro,Ana,Online
2024-11-17,106447.0,Monitor,Centro,Juan,Online
2023-12-27,45682.0,,,María,Tienda
2024-05-21,64616.0,Monitor,,Pedro,Online
2023-05-20,93565.0,,Centro,Luis,Tienda
2023-01-15,71330.0,Teclado,Centro,María,Tienda
2022-10-04,42569.0,Mouse,Sur,Pedro,Online
2024-11-28,127484.0,Laptop,Centro,Ana,Online
2023-01-15,36375.0,Mouse,Norte,María,Online
2022-07-25,21834.0,Laptop,Sur,Ana,Online
2024-03-02,60799.0,Monitor,Sur,Juan,Online
2024-02-13,83700.0,Teclado,Norte,Pedro,Tienda
